rect_type,N,trial,estimate
wide,5100,4,0.905493
wide,5100,5,0.876899
wide,5100,6,0.964588
wide,5100,7,0.966495
wide,5100,8,0.968401
wide,5100,9,0.90168
wide,5100,10,0.955057
wide,5100,11,0.947432
wide,5100,12,0.951244
wide,5100,13,0.962682
wide,5100,14,0.865461
wide,5100,15,1.0275
wide,5100,16,0.964588
wide,5100,17,0.935994
wide,5100,18,0.899774
wide,5100,19,0.996996
wide,5100,20,0.995089
wide,5100,21,1.00271
wide,5100,22,0.987464
wide,5100,23,0.983651
wide,5100,24,0.960776
wide,5100,25,0.949338
wide,5100,26,0.951244
wide,5100,27,0.951244
wide,5100,28,1.01034
wide,5100,29,0.928369
narrow,5100,0,0.941422
narrow,5100,1,0.955392
narrow,5100,2,0.93799
narrow,5100,3,0.954657
narrow,5100,4,0.944608
narrow,5100,5,0.933333
narrow,5100,6,0.948284
narrow,5100,7,0.946324
narrow,5100,8,0.952696
narrow,5100,9,0.957843
narrow,5100,10,0.945098
narrow,5100,11,0.955392
narrow,5100,12,0.936765
narrow,5100,13,0.942402
narrow,5100,14,0.939216
narrow,5100,15,0.936275
narrow,5100,16,0.950245
narrow,5100,17,0.949755
narrow,5100,18,0.935049
narrow,5100,19,0.957598
narrow,5100,20,0.946814
narrow,5100,21,0.941667
narrow,5100,22,0.945098
narrow,5100,23,0.951471
narrow,5100,24,0.949265
narrow,5100,25,0.956863
narrow,5100,26,0.93652
narrow,5100,27,0.955147
narrow,5100,28,0.956863
narrow,5100,29,0.945833
wide,5600,0,1.00346
wide,5600,1,0.934019
wide,5600,2,0.999991
wide,5600,3,0.930547
wide,5600,4,0.91145
wide,5600,5,0.907978
wide,5600,6,0.944436
wide,5600,7,0.880201
wide,5600,8,0.916659
wide,5600,9,0.95138
wide,5600,10,0.904506
wide,5600,11,0.899298
wide,5600,12,0.935756
wide,5600,13,1.05555
wide,5600,14,0.899298
wide,5600,15,0.958325
wide,5600,16,0.944436
wide,5600,17,0.977422
wide,5600,18,0.987838
wide,5600,19,0.901034
wide,5600,20,0.944436
wide,5600,21,0.956589
